|Unnamed: 0|Name|Deutscher Name|UUID des Taxons|UUID des direkt übergeordneten Taxons|Synonyme|Konzeptbeziehungen|Jahrzehnt|Auswertung|Taxa|Arten|Oberste Taxa|Status|Neobiota|Aktuelle Bestandssituation|kurzfristiger Bestandstrend|Langfristiger Bestandstrend|Sonderfälle|Letzter Nachweis|RL Kat.|Risikofaktoren|Risikofaktoren (Kürzel 1)|Risikofaktoren (Kürzel 2)|Risikofaktoren (Kürzel 3)|Taxonomischer Bezug|alte RL- Kat.|Kat. +/-|Grund der Kategorieänderung 1|Grund der Kategorieänderung 2|Grund der Kategorieänderung 3|Kommentar zur Taxonomie|Kommentar zur Gefährdung|Kommentar zur Nachsuche|Weitere Kommentare|Anteil|Lage|Gefährdung|Verantwortlichkeit|Endemit|Kommentar zur Verantwortlichkeit
4893|4893|Teucrium scordium subsp. scordium|Lauch-Gamander|bee93f75-b4e9-41c9-9141-017098350768|0de774fb-fabc-4539-93bb-887c90b68234|Teucrium scordium|≙Teucrium scordium||I|Taxa|||I||Selten|(v)|Starker Rückgang|||2|=||||≙|2|=|||||In Ostdeutschland, besonders in Brandenburg, sind der langfristige Rückgang und die Gefährdung weniger stark.|||A0|Lh|G+|||
4894|4894|Teucrium scorodonia L.|Salbei-Gamander|8828accf-8ddb-4a63-a233-3f28b7c064ed|||≙Teucrium scorodonia L.||S|Taxa|Arten|Oberste Taxa|I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
4895|4895|Thalictrum aquilegiifolium L.|Akelei-Wiesenraute|2225fbff-9c67-4f48-bf07-292982576402|||≙Thalictrum aquilegiifolium L.||S|Taxa|Arten|Oberste Taxa|I||Mäßig häufig|=|Mäßiger Rückgang|||*|=||||≙|V|+|K||||Außerhalb der Alpen teilweise in erheblichem Rückgang und lokal gefährdet.|||A0|Lr|G+|||
4896|4896|Thalictrum flavum L.|Gelbe Wiesenraute|0a5f3f04-fce7-4f34-8ce6-a9bd3cff8fe7||Thalictrum morisonii|>Thalictrum flavum#>Thalictrum morisonii||S|Taxa|Arten|Oberste Taxa|I||Mäßig häufig|(v)|Mäßiger Rückgang|||V|=||||>|V|=|||||||"In Korneck et al. (1998) wurden Thalictrum morisonii und T. flavum unterschieden, von denen das häufigere und bundesweit vorkommende T. flavum in die Kategorie ""V"" eingestuft wurde, das seltenere T. morisonii als ungefährdet. "|A0|Lh|G+|||
4897|4897|Thalictrum lucidum L.|Glanz-Wiesenraute|dbcff230-b571-42c4-bf3b-b3cead6031ea|||≙Thalictrum lucidum L.||S|Taxa|Arten|Oberste Taxa|I||Selten|(v)|Mäßiger Rückgang|||3|=||||≙|3|=||||||||A0|Lr|G+|||
4898|4898|Thalictrum minus L.|Kleine Wiesenraute|60751888-6841-4504-8354-1e9866a2ddda||Thalictrum minus subsp. majus#Thalictrum minus subsp. minus#Thalictrum minus subsp. saxatile|>Thalictrum minus subsp. majus#>Thalictrum minus subsp. minus#>Thalictrum minus subsp. saxatile||M||Arten|Oberste Taxa|I||Mäßig häufig|(v)|Mäßiger Rückgang|||V|=||||>|*|-|R|||||||A0|Lh|G+|||
4899|4899|Thalictrum minus subsp. majus (Crantz) Hook. f.|Alpine Kleine Wiesenraute|8dd7213d-fba1-4402-8d57-7e3bf8549c22|60751888-6841-4504-8354-1e9866a2ddda||≙Thalictrum minus subsp. majus (Crantz) Hook. f.||I|Taxa|||I||Unbekannt|?|Daten ungenügend|||D|=||||≙|*| ||||||||A0|Lr|G+|||
4900|4900|Thalictrum minus subsp. minus|Kleine Wiesenraute|17b70df9-7eeb-4048-a7a5-ba4dab81647b|60751888-6841-4504-8354-1e9866a2ddda||≙Thalictrum minus subsp. minus||I|Taxa|||I||Selten|(v)|Mäßiger Rückgang|||3|=||||≙|V|-|K|||||||A0|Lr|G+|||
4901|4901|Thalictrum minus subsp. pratense (F.W. Schultz) Hand|Frühe Wiesenraute|c6d62fe4-7ac1-4aca-9ab4-9c42fdd086ec|60751888-6841-4504-8354-1e9866a2ddda||||I|Taxa|||I||Sehr selten|(v)|Mäßiger Rückgang|||2|=|||||kN||||||||||||nb||
4902|4902|Thalictrum minus subsp. saxatile Ces.|Stein-Wiesenraute|ca51d91c-91b6-48ad-8291-a660f88974e9|60751888-6841-4504-8354-1e9866a2ddda||≙Thalictrum minus subsp. saxatile Ces.||I|Taxa|||I||Selten|(v)|Mäßiger Rückgang|||3|=||||≙|*|-|K||||||||||nb||
